
---------- Begin Simulation Statistics ----------
sim_seconds                                  3.443343                       # Number of seconds simulated
sim_ticks                                3443343369451                       # Number of ticks simulated
final_tick                               39323813236154                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
host_inst_rate                                  95284                       # Simulator instruction rate (inst/s)
host_op_rate                                   117893                       # Simulator op (including micro ops) rate (op/s)
host_tick_rate                            19167654005                       # Simulator tick rate (ticks/s)
host_mem_usage                                1516932                       # Number of bytes of host memory used
host_seconds                                   179.64                       # Real time elapsed on the host
sim_insts                                    17117103                       # Number of instructions simulated
sim_ops                                      21178781                       # Number of ops (including micro ops) simulated
system.voltage_domain.voltage                       1                       # Voltage in Volts
system.clk_domain.clock                          1000                       # Clock period in ticks
system.mem_ctrls.pwrStateResidencyTicks::UNDEFINED 39323813236154                       # Cumulative time (in ticks) in various power states
system.mem_ctrls.bytes_read::cpu.dtb.walker         9600                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu.itb.walker         2688                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu.inst          862464                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::cpu.data         1075328                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::realview.hdlcd   1761811840                       # Number of bytes read from this memory
system.mem_ctrls.bytes_read::total         1763761920                       # Number of bytes read from this memory
system.mem_ctrls.bytes_inst_read::cpu.inst       862464                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_inst_read::total        862464                       # Number of instructions bytes read from this memory
system.mem_ctrls.bytes_written::writebacks       179456                       # Number of bytes written to this memory
system.mem_ctrls.bytes_written::cpu.data         8704                       # Number of bytes written to this memory
system.mem_ctrls.bytes_written::total          188160                       # Number of bytes written to this memory
system.mem_ctrls.num_reads::cpu.dtb.walker           75                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu.itb.walker           21                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu.inst             6738                       # Number of read requests responded to by this memory
system.mem_ctrls.num_reads::cpu.data             8401                       # Number of read requests responded to by this memory
